date,city,house_price,attached_price,earnings_state,cpi,house_price_real,attached_price_real,earnings_state_real,annual_earnings_real,annual_earnings_nominal,pti_house_real,pti_attached_real,pti_house_nominal,pti_attached_nominal
2010-06-01,sydney,612500.0,480000.0,1321.0,66.37,926360.0,725970.0,1997.92,103891.84,68692.0,8.916580936481633,6.987748027179036,8.916613288301404,6.987713270832121
2010-09-01,sydney,598000.0,477000.0,1329.0,66.9,897270.0,715710.0,1994.1,103693.2,69108.0,8.653122866301745,6.902188378794366,8.653122648607976,6.902239972217399
2010-12-01,sydney,620000.0,487600.0,1337.0,67.13,927090.0,729110.0,1999.23,103959.96,69524.0,8.917760260777321,7.013373225614938,8.917783786893734,7.013405442724815
2011-03-01,sydney,575000.0,479000.0,1356.0,68.22,846060.0,704810.0,1995.24,103752.48,70512.0,8.154600256302308,6.7931870158669945,8.154640344905832,6.793169956886771
2011-06-01,sydney,592000.0,485000.0,1374.0,68.86,862980.0,707000.0,2002.94,104152.88,71448.0,8.285704629579135,6.788098418401872,8.285746277012652,6.788153622214757
2011-09-01,sydney,567000.0,480000.0,1374.0,69.35,820700.0,694770.0,1988.78,103416.56,71448.0,7.93586636414903,6.7181697012548085,7.9358414511252935,6.718172657037286
2011-12-01,sydney,533000.0,460000.0,1373.0,69.3,772040.0,666300.0,1988.77,103416.04,71396.0,7.465379645169164,6.442907695943492,7.465404224326293,6.442937979718752
2012-03-01,sydney,607500.0,500000.0,1390.0,69.36,879190.0,723620.0,2011.65,104605.8,72280.0,8.404792086098476,6.917589655640509,8.40481460985058,6.917542888765911
2012-06-01,sydney,600000.0,510000.0,1406.0,69.77,863240.0,733750.0,2022.85,105188.2,73112.0,8.206623936905471,6.975592319290567,8.206587153955574,6.975599080862239
2012-09-01,sydney,585000.0,487000.0,1425.0,70.97,827420.0,688810.0,2015.52,104807.04,74100.0,7.894698676730113,6.572173014331862,7.894736842105263,6.572199730094467
2012-12-01,sydney,640000.0,525000.0,1444.0,71.04,904320.0,741830.0,2040.38,106099.76000000001,75088.0,8.523299204446833,6.991816004107831,8.523332623055614,6.991796292350309
2013-03-01,sydney,615000.0,520000.0,1447.0,71.3,865830.0,732080.0,2037.16,105932.32,75244.0,8.173426202692436,6.910827592560985,8.17340917548243,6.91085003455425
2013-06-01,sydney,650000.0,530000.0,1451.0,71.63,910890.0,742730.0,2033.39,105736.28,75452.0,8.61473469654881,7.024362877150587,8.61474844934528,7.024333351004612
2013-09-01,sydney,670000.0,550000.0,1460.0,72.46,928160.0,761920.0,2022.56,105173.12,75920.0,8.825068610686838,7.244436601291281,8.825079030558483,7.244467860906217
2013-12-01,sydney,745000.0,565000.0,1469.0,72.89,1025970.0,778090.0,2023.02,105197.04,76388.0,9.752840954460316,7.396500890139115,9.752840760328848,7.396449704142012
2014-03-01,sydney,680000.0,591500.0,1489.0,73.35,930580.0,809470.0,2037.71,105960.92,77428.0,8.78229445346454,7.639325894867655,8.782352637288836,7.639355271994627
2014-06-01,sydney,728000.0,610000.0,1508.0,73.63,992480.0,831610.0,2055.86,106904.72,78416.0,9.283780921927487,7.778983004679307,9.283819628647215,7.779024688839012
2014-09-01,sydney,730000.0,620000.0,1528.0,74.05,989570.0,840450.0,2071.31,107708.12,79456.0,9.187515295968401,7.803032863260449,9.187474828836086,7.803060813532018
2014-12-01,sydney,816000.0,650000.0,1547.0,74.18,1104210.0,879580.0,2093.39,108856.28,80444.0,10.14374182178557,8.080195281337925,10.14370245139476,8.080155138978668
2015-03-01,sydney,792500.0,657000.0,1558.0,74.55,1067080.0,884640.0,2097.81,109086.12,81016.0,9.781996096295295,8.109556009508818,9.782018366742372,8.109509232744148
2015-06-01,sydney,860000.0,705000.0,1568.0,75.24,1147350.0,940560.0,2091.92,108779.84,81536.0,10.547450704101054,8.646455078441006,10.547488226059654,8.646487441130299
2015-09-01,sydney,888200.0,710000.0,1577.0,75.44,1181830.0,944720.0,2098.35,109114.2,82004.0,10.831129220578074,8.658084832221654,10.831178966879664,8.658114238329837
2015-12-01,sydney,915000.0,723000.0,1586.0,75.63,1214430.0,959600.0,2105.02,109461.04,82472.0,11.09463239157969,8.766589464160035,11.094674556213018,8.76661169851586
2016-03-01,sydney,850000.0,706500.0,1590.0,75.47,1130560.0,939690.0,2114.8,109969.6,82680.0,10.28065938222927,8.544997890326053,10.280599903241413,8.54499274310595
2016-06-01,sydney,895000.0,720000.0,1595.0,75.88,1183980.0,952470.0,2109.99,109719.47999999998,82940.0,10.790973489848842,8.68095619847998,10.790933204726308,8.680974198215578
2016-09-01,sydney,900000.0,710000.0,1590.0,76.65,1178630.0,929810.0,2082.25,108277.0,82680.0,10.885321905852582,8.587326948474745,10.88534107402032,8.587324625060473
2016-12-01,sydney,985500.0,735000.0,1585.0,77.05,1283900.0,957550.0,2064.92,107375.84,82420.0,11.957065947051031,8.917741644675376,11.957049259888377,8.917738413006552
2017-03-01,sydney,930000.0,730000.0,1589.0,77.33,1207210.0,947590.0,2062.64,107257.28,82628.0,11.25527330172833,8.834738304010694,11.255264559229317,8.834777557244518
2017-06-01,sydney,1050000.0,770000.0,1593.0,77.54,1359290.0,996810.0,2062.23,107235.96,82836.0,12.67569199734865,9.295482597442126,12.675648268868608,9.295475397170312
2017-09-01,sydney,950000.0,720000.0,1611.0,78.15,1220230.0,924810.0,2069.25,107601.0,83772.0,11.340322115965465,8.5948085984331,11.340304636394022,8.594757198109154
2017-12-01,sydney,1029000.0,741000.0,1628.0,78.68,1312800.0,945370.0,2077.0,108004.0,84656.0,12.15510536646791,8.753101736972704,12.155074655074655,8.753071253071253
2018-03-01,sydney,955000.0,742000.0,1638.0,78.89,1215150.0,944120.0,2084.2,108378.4,85176.0,11.212104995091273,8.711329932901759,11.212078519770827,8.71137409598948
2018-06-01,sydney,973100.0,730000.0,1648.0,79.19,1233490.0,925340.0,2088.98,108626.96,85696.0,11.355284176230283,8.518511426629264,11.355255787901418,8.518483943241225
2018-09-01,sydney,950000.0,730000.0,1656.0,79.64,1197400.0,920110.0,2087.26,108537.52000000002,86112.0,11.032129718829026,8.477344977110219,11.032144184318097,8.477331846897064
2018-12-01,sydney,940000.0,725000.0,1665.0,80.04,1178880.0,909240.0,2088.11,108581.72,86580.0,10.857076126626103,8.373785200676505,10.857010857010858,8.373758373758374
2019-03-01,sydney,870000.0,695000.0,1686.0,79.97,1092040.0,872380.0,2116.3,110047.6,87672.0,9.923342262802642,7.927296915153079,9.923350670681632,7.9272743863491195
2019-06-01,sydney,897000.0,700000.0,1708.0,80.48,1118800.0,873090.0,2130.33,110777.16,88816.0,10.099554817978724,7.881498316078874,10.09953161592506,7.881462799495586
2019-09-01,sydney,900000.0,710000.0,1716.0,80.91,1116570.0,880850.0,2128.93,110704.35999999999,89232.0,10.086052617981805,7.956777854097166,10.08606777837547,7.956786802940649
2019-12-01,sydney,985000.0,736000.0,1725.0,81.34,1215570.0,908280.0,2128.79,110697.08,89700.0,10.981048461260224,8.20509447945691,10.981047937569677,8.205128205128204
2020-03-01,sydney,947500.0,730000.0,1759.0,81.54,1166420.0,898670.0,2165.42,112601.84,91468.0,10.35880053114585,7.980953064354899,10.358814011457559,7.980933222547776
2020-06-01,sydney,955000.0,730000.0,1793.0,79.63,1203850.0,920220.0,2260.22,117531.43999999999,93236.0,10.242791205485103,7.829564582889481,10.242824660002574,7.829593719164271
2020-09-01,sydney,945000.0,730000.0,1793.0,81.1,1169660.0,903540.0,2219.25,115401.0,93236.0,10.135614076134523,7.829568201315413,10.135569951520871,7.829593719164271
2020-12-01,sydney,999000.0,743000.0,1793.0,81.97,1223370.0,909870.0,2195.7,114176.4,93236.0,10.71473614512281,7.968984833993716,10.714745377322064,7.969024840190484
2021-03-01,sydney,1052000.0,750000.0,1799.0,82.33,1282640.0,914430.0,2193.41,114057.31999999999,93548.0,11.245573716794329,8.017284642493792,11.245563774746653,8.017274554239535
2021-06-01,sydney,1206400.0,785000.0,1804.0,82.89,1460950.0,950640.0,2184.65,113601.8,93808.0,12.860271580203834,8.368177264796861,12.86031042128603,8.368156234009893
2021-09-01,sydney,1300000.0,800000.0,1802.0,83.48,1563180.0,961950.0,2166.8,112673.6,93704.0,13.873524942843753,8.537492367333607,13.873473917869035,8.53752241099633
2021-12-01,sydney,1360000.0,806000.0,1800.0,84.45,1616540.0,958040.0,2139.54,111256.08,93600.0,14.529902545550769,8.611124893129436,14.52991452991453,8.61111111111111
2022-03-01,sydney,1325000.0,780000.0,1813.0,85.88,1548710.0,911700.0,2119.11,110193.72,94276.0,14.054430688064619,8.273611236647605,14.054478340192626,8.27357970215113
2022-06-01,sydney,1350000.0,775000.0,1827.0,87.3,1552270.0,891120.0,2100.74,109238.47999999998,95004.0,14.209919434982986,8.157564989919305,14.209928003031452,8.157551260999536
2022-09-01,sydney,1300000.0,750000.0,1836.0,89.33,1460810.0,842770.0,2063.11,107281.72,95472.0,13.616578854254014,7.855671963499467,13.616557734204793,7.8557063851181494
2022-12-01,sydney,1300000.0,765000.0,1845.0,90.92,1435260.0,844600.0,2036.97,105922.44,95940.0,13.550103264237492,7.973758912653447,13.550135501355014,7.973733583489681
2023-03-01,sydney,1250100.0,765000.0,1856.0,92.19,1361160.0,832960.0,2020.88,105085.76000000001,96512.0,12.952849177662129,7.926478335409097,12.952793435013263,7.926475464190982
2023-06-01,sydney,1355000.0,800000.0,1867.0,93.03,1462050.0,863210.0,2014.51,104754.52,97084.0,13.956915653854363,8.2403126853142,13.956985703102468,8.240286761979316
2023-09-01,sydney,1370000.0,795000.0,1897.0,94.33,1457870.0,845990.0,2018.67,104970.84,98644.0,13.88833317900476,8.059285797846336,13.888325696443777,8.059283889542192
2023-12-01,sydney,1420000.0,800000.0,1927.0,94.72,1504850.0,847800.0,2042.15,106191.8,100204.0,14.171056522255014,7.983667288811377,14.171090974412198,7.983713225020957
2024-03-01,sydney,1401000.0,790000.0,1952.0,95.6,1471050.0,829500.0,2049.6,106579.2,101504.0,13.802411727616645,7.782944514501891,13.802411727616645,7.782944514501891
2024-06-01,sydney,1455000.0,800000.0,1976.0,96.63,1511470.0,831050.0,2052.68,106739.35999999999,102752.0,14.160380950382317,7.78578773565815,14.160308315166615,7.785736530675802
2024-09-01,sydney,1410000.0,815000.0,2002.0,97.1,1457630.0,842530.0,2069.63,107620.76000000001,104104.0,13.544134049973257,7.828694017771292,13.544148159532774,7.828709751786675
2024-12-01,sydney,1450000.0,820000.0,2027.0,97.03,1500060.0,848310.0,2096.98,109042.96,105404.0,13.756596482707366,7.779594391054681,13.756593677659293,7.779590907365944
2025-03-01,sydney,1450000.0,820000.0,2062.0,97.82,1487950.0,841460.0,2115.96,110029.92,107224.0,13.523139887768709,7.647556228342254,13.523091845109304,7.647541595165261
2025-06-01,sydney,1520000.0,835000.0,2096.0,98.47,1549480.0,851200.0,2136.66,111106.31999999999,108992.0,13.945921348128532,7.661130347940603,13.945977686435702,7.661112742219612
2025-09-01,sydney,1511000.0,840000.0,2114.0,99.91,1518110.0,843950.0,2123.94,110444.88,109928.0,13.745408569414897,7.641368255368651,13.745360599665235,7.641365257259297
2025-12-01,sydney,1515000.0,850000.0,2131.0,100.38,1515000.0,850000.0,2131.0,110812.0,110812.0,13.67180449770783,7.670649388152907,13.67180449770783,7.670649388152907
2010-06-01,melbourne,500000.0,450000.0,1275.0,66.79,751310.0,676180.0,1915.84,99623.68,66300.0,7.541480097904435,6.787342125888142,7.541478129713424,6.787330316742081
2010-09-01,melbourne,488300.0,445000.0,1282.0,67.16,729690.0,664980.0,1915.75,99619.0,66664.0,7.324807516638392,6.6752326363444725,7.324792991719669,6.675267010680427
2010-12-01,melbourne,520000.0,460000.0,1288.0,67.55,772570.0,683430.0,1913.6,99507.2,66976.0,7.763960798816568,6.8681462245948035,7.763975155279503,6.868131868131868
