date,nsw_earnings,vic_earnings,qld_earnings,sa_earnings,wa_earnings,tas_earnings,nt_earnings,act_earnings,aus_earnings,
1/05/2010,1320.6,1275.2,1271.7,1181.9,1419.6,1131.8,1279.6,1514,1301.4,
1/11/2010,1337.3,1288.2,1314.7,1215.6,1470.5,1165.8,1326.1,1541.8,1327.8,
1/05/2011,1374,1306.8,1327.4,1235.3,1529.5,1200.4,1355.6,1558.7,1357.4,
1/11/2011,1373.4,1342.6,1349.2,1270.3,1576.3,1233.4,1437.9,1618.7,1381.4,
1/05/2012,1406,1350.3,1373.9,1282.6,1570.7,1248.8,1470.4,1656.2,1401.5,
1/11/2012,1444,1373.9,1415.6,1319.1,1637,1272.7,1473.4,1698.3,1441,
1/05/2013,1450.6,1379.1,1469.9,1324.3,1689.7,1315.6,1499.1,1752.7,1464.4,
1/11/2013,1469.3,1433.6,1467.9,1362.8,1665.4,1317.1,1508.2,1725.2,1483.5,
1/05/2014,1507.9,1427.1,1487.8,1405.2,1689.8,1295,1475.5,1714.1,1502.5,
1/11/2014,1547.1,1446.6,1508.7,1393.5,1719.5,1313.4,1518.5,1758.3,1528.4,
1/05/2015,1568.3,1450.2,1491.9,1397.6,1748.3,1338.4,1573.6,1765.9,1537.3,
1/11/2015,1585.6,1479.1,1502.4,1431.1,1763.2,1364.2,1616.6,1772,1556.5,
1/05/2016,1594.9,1504,1512.5,1467.4,1751,1384.7,1631.6,1780.7,1568.3,
1/11/2016,1584.8,1545.9,1536.4,1504.1,1760.5,1391.9,1699.4,1800.1,1584.3,
1/05/2017,1593.3,1553,1552.8,1504.5,1773.2,1401.3,1682.2,1830.3,1594.1,
1/11/2017,1628,1566.1,1579.4,1497.3,1790.5,1400.2,1710.3,1851.9,1615.3,
1/05/2018,1647.8,1586.4,1595.7,1500.6,1790.2,1426,1728.8,1857.8,1631.1,
1/11/2018,1664.9,1608,1630.2,1513.8,1805.5,1445.7,1705.6,1858.5,1651.3,
1/05/2019,1708,1648.5,1632.4,1531.6,1829.1,1465.5,1756.3,1860.4,1681.6,
1/11/2019,1724.8,1690.2,1663.5,1560.9,1828.3,1495.5,1748.6,1877.2,1706.2,
1/05/2020,1793.4,1754,1698.4,1582.3,1892.7,1535.5,1771.9,1907,1762.2,
1/11/2020,1793.3,1762.1,1664.2,1596.7,1889.8,1535.1,1777.1,1937.4,1757.2,
1/05/2021,1804.5,1800.5,1694.9,1625.2,1928.8,1567.9,1765.8,1952.3,1783.7,
1/11/2021,1799.9,1807.8,1721.5,1641.8,1950.1,1590.6,1767.8,2024.2,1794.6,
1/05/2022,1826.6,1801.3,1756.8,1671.5,1989.9,1618.2,1793,2027.7,1816.1,
1/11/2022,1844.7,1837.7,1810.9,1707.7,2040.5,1628.4,1832.1,2061,1851.3,
1/05/2023,1866.9,1880.5,1841.6,1726.4,2094.4,1666.3,1859,2063.8,1883.1,
1/11/2023,1927.4,1908.3,1895.5,1787.4,2163.7,1713.1,1909.2,2125.1,1934.8,
1/05/2024,1975.8,1933.1,1957.5,1832.5,2150.3,1754.9,1922.6,2168.3,1972.6,
1/11/2024,2027.4,1979,2009.7,1916.3,2213,1812.5,1973.8,2222.4,2025.9,
1/05/2025,2096.4,2013.2,2006.5,1962.9,2212.4,1840,2011.8,2281.8,2061.9,
1/11/2025,2130.6,2063.2,2046.5,1999.4,2253.1,1872,2020.2,2301.3,2102.5,
